Build Type,Date, Time, Application,Environment,Release,Publish Type,App Job Name, App Job Build Number,Spinner Job Name, Spinner Job Build Number,App Job Duration,Spinner Job Duration,Total Execution,Total Time (In mins.secs)
,7/7/2016,1:00:12,WINDPLM,QA,Release_4_2_30,db,PLM-WINDPLM-APP,364,PLM-WINDPLM-DB,324,8 mins 19 secs,0 mins 32 secs,8 mins 52 secs,8.87
,7/7/2016,5:00:25,WINDPLM,DEV3,wind_dev_4_3_IB,db,PLM-WINDPLM-APP,365,PLM-WINDPLM-DB,325,56 mins 26 secs,2 mins 5 secs,58 mins 32 secs,58.53
,7/7/2016,5:15:44,WINDPLM,DEV,wind_dev_4_2_30,all,PLM-WINDPLM-APP,366,PLM-WINDPLM-DB,326,12 mins 57 secs,0 mins 35 secs,13 mins 33 secs,13.55
,7/7/2016,5:34:38,WINDPLM,QA3,Release_4_3,db,PLM-WINDPLM-APP,367,PLM-WINDPLM-DB,327,10 mins 1 secs,0 mins 48 secs,10 mins 50 secs,10.83
,7/7/2016,6:51:23,ENERGYPLM,QA1,Release_6_0_81,db,PLM-ENERGYPLM-APP,262,PLM-ENERGYPLM-DB,195,25 mins 23 secs,0 mins 44 secs,26 mins 7 secs,26.12
,7/7/2016,8:16:35,ENERGYPLM,QA1,Release_6_0_81,db,PLM-ENERGYPLM-APP,263,PLM-ENERGYPLM-DB,196,10 mins 19 secs,0 mins 30 secs,10 mins 50 secs,10.83
,7/7/2016,9:17:36,ENERGYPLM,QA1,Release_6_0_81,db,PLM-ENERGYPLM-APP,264,PLM-ENERGYPLM-DB,197,10 mins 23 secs,0 mins 30 secs,10 mins 54 secs,10.9
,7/7/2016,11:01:05,WINDPLM,DEV3,wind_dev_4_3_IB,db,PLM-WINDPLM-APP,370,PLM-WINDPLM-DB,329,32 mins 18 secs,0 mins 40 secs,32 mins 58 secs,32.97
,7/7/2016,14:05:30,WINDPLM,DEV4,wind_dev_4_4,all,PLM-WINDPLM-APP,371,PLM-WINDPLM-DB,330,11 mins 11 secs,0 mins 39 secs,11 mins 51 secs,11.85
,7/8/2016,4:02:41,WINDPLM,QA3,Release_4_3,db,PLM-WINDPLM-APP,372,PLM-WINDPLM-DB,331,68 mins 53 secs,1 mins 54 secs,70 mins 47 secs,70.78
,7/8/2016,4:24:43,WINDPLM,DEV3,wind_dev_4_3_IB,db,PLM-WINDPLM-APP,373,PLM-WINDPLM-DB,332,22 mins 31 secs,0 mins 36 secs,23 mins 7 secs,23.12
,7/8/2016,4:50:50,WINDPLM,DEV,wind_dev_4_2_30,db,PLM-WINDPLM-APP,374,PLM-WINDPLM-DB,333,9 mins 51 secs,0 mins 36 secs,10 mins 27 secs,10.45
,7/8/2016,6:29:45,ENERGYPLM,QA2,Release_6_0_85,all,PLM-ENERGYPLM-APP,265,PLM-ENERGYPLM-DB,198,35 mins 16 secs,0 mins 29 secs,35 mins 45 secs,35.75
,7/8/2016,7:00:25,ENERGYPLM,QA2,Release_6_0_85,db,PLM-ENERGYPLM-APP,266,PLM-ENERGYPLM-DB,199,8 mins 50 secs,0 mins 30 secs,9 mins 20 secs,9.33
,7/8/2016,7:12:08,WINDPLM,QA2,Release_4_4,db,PLM-WINDPLM-APP,375,PLM-WINDPLM-DB,334,38 mins 29 secs,2 mins 1 secs,40 mins 30 secs,40.5
